,Text,Price,Brand,Screen Size,Model,CPU,RAM,SSD
82,لپ تاپ 15.6 اینچی لنوو مدل IdeaPad 3 15ITL6-i5 16GB 1HDD 256SSD MX350 - کاستوم شده,"28,500,000",Lenovo,15.6,IdeaPad,i5,16GB,256
83,لپ تاپ 15.6 اینچی ایسوس مدل ExpertBook B1 B1502CB-BQ0561-i5 8GB 512SSD,"27,590,000",Asus,15.6,ExpertBook,i5,8GB,512
84,لپ تاپ 15.6 اینچی ایسر مدل Aspire 3 A315-59G-52KM-i5 12GB 512SSD MX550 - کاستوم شده,"27,279,000",NA,15.6,Aspire,i5,12GB,512
85,لپ تاپ 13.3 اینچی اپل مدل MacBook Pro MNEH3 2022,"69,950,000",Apple,13.3,MacBook,NA,NA,NA
86,لپ تاپ 15.6 اینچی ایسوس مدل TUF Gaming FX507ZU4-LP007W - i7 16GB 512SSD RTX4050,"59,940,000",Asus,15.6,TUF,i7,16GB,512
87,لپ تاپ 15.3 اینچی اپل مدل MacBook Air MQKQ3 M2 2023,"78,490,000",Apple,15.3,MacBook,NA,NA,NA
88,لپ تاپ 16 اینچی لنوو مدل LOQ 16IRH8 - i7 16GB 1SSD RTX4050 - کاستوم شده,"59,410,000",Lenovo,16,LOQ,i7,16GB,1
89,لپ تاپ 15.6 اینچی اچ‌پی مدل 255 G8,"19,410,000",HP,15.6,255,NA,NA,NA
90,لپ تاپ 14 اینچی ایسوس مدل M433UA-EB406,"29,900,000",Asus,14,M433UA-EB406,NA,NA,NA
91,لپ تاپ 15.6 اینچی لنوو مدل IdeaPad 3 15ALC6-R5 12GB 256GB 1T - کاستوم شده,"23,300,000",Lenovo,15.6,IdeaPad,NA,12GB,NA
92,لپ تاپ 15.6 اینچی لنوو مدل ThinkBook 15 G2 ITL-i5 16GB 1HDD 512SSD MX450 - کاستوم شده,"29,600,000",Lenovo,15.6,ThinkBook,i5,16GB,512
93,لپ تاپ 15.6 اینچی لنوو مدل V15 IGL - N4020 4GB 256SSD,"10,080,000",Lenovo,15.6,V15,NA,4GB,256
94,لپ تاپ 15.6 اینچی ایسوس مدل P1512CEA-EJ0944X-i3 16GB 512SSD - کاستوم شده,"21,000,000",Asus,15.6,P1512CEA-EJ0944X-i3,i3,16GB,512
95,لپ تاپ 15.6 اینچی لنوو مدل V15 G3 IAP-i3 8GB 256SSD - کاستوم شده,"16,890,000",Lenovo,15.6,V15,i3,8GB,256
96,لپ تاپ 14 اینچی ایسوس مدل ExpertBook B1400CBA-EK0127W-i7 1255U 32GB 256SSD 1HDD,"45,500,000",Asus,14,ExpertBook,i7,32GB,256
97,لپ تاپ 15.6 اینچی ایسوس مدل Vivobook R1502ZA-EJ972-i5 1235U 16GB 512SSD,"29,520,000",Asus,15.6,Vivobook,i5,16GB,512
98,لپ تاپ 15.3 اینچی اپل مدل MacBook Air MQKV3 M2 2023,"75,950,000",Apple,15.3,MacBook,NA,NA,NA
99,لپ تاپ 13.6 اینچی اپل مدل MacBook Air-B M2 2022-M2 8GB 256SSD 10Cores,"61,990,000",Apple,13.6,MacBook,NA,8GB,256
100,لپ تاپ 15.6 اینچی ایسوس مدل VivoBook R565EP-EJ628,"33,970,000",Asus,15.6,VivoBook,NA,NA,NA
101,لپ تاپ 17.3 اینچی ایسوس مدل Vivobook K1703ZA-AU128-i7 12700H 16GB 1SSD,"41,500,000",Asus,17.3,Vivobook,i7,16GB,1
102,لپ تاپ 15 اینچی لنوو مدل Ideapad L3 - B,"23,390,000",Lenovo,15,Ideapad,NA,NA,NA
103,لپ تاپ 15.6 اینچی ایسوس مدل TUF Gaming F15 FX507ZC4-HN081W - i5 16GB 512SSD RTX3050 - کاستوم شده,"44,499,000",Asus,15.6,TUF,i5,16GB,512
104,لپ تاپ 15.6 اینچی ایسوس مدل Vivobook M1502QA-EJ041W R7 8GB 1SSD - کاستوم شده,"37,190,000",Asus,15.6,Vivobook,NA,8GB,1
105,لپ تاپ 15.6 اینچی لنوو مدل IdeaPad 3 15IAU7-i3 16GB 1SSD - کاستوم شده,"21,900,000",Lenovo,15.6,IdeaPad,i3,16GB,1
106,لپ تاپ 15.6 اینچ لنوو مدل Idea Pad 5 15IAL7-i5 16GB 512GB 2GB - کاستوم شده,"33,578,000",Lenovo,NA,Idea,i5,16GB,NA
107,لپ تاپ 13 اینچی اپل مدل MacBook Air MGN93 2020,"44,599,000",Apple,13,MacBook,NA,NA,NA
108,لپ تاپ 15.6 اینچی ایسوس مدل Vivobook 15 R1502ZA-EJ956-i3 12GB 512SSD - کاستوم شده,"22,410,000",Asus,15.6,Vivobook,i3,12GB,512
109,لپ تاپ 15.6 اینچی اچ‌پی مدل G8 255-R5 5500U 16GB 1SSD - کاستوم شده,"23,980,000",HP,15.6,G8,NA,16GB,1
110,لپ تاپ 15.6 اینچی لنوو مدل ThinkBook 15 G2 ITL-i7 16GB 512GB - کاستوم شده,"35,449,000",Lenovo,15.6,ThinkBook,i7,16GB,NA
111,لپ تاپ 15.6 اینچی ایسوس مدل Vivobook X1504VA-NJ436-i7 8GB 512SSD,"29,800,000",Asus,15.6,Vivobook,i7,8GB,512
112,لپ تاپ 15.6 اینچی لنوو مدل V15 G2 ITL-i5 12GB 512SSD MX350 - کاستوم شده,"26,519,000",Lenovo,15.6,V15,i5,12GB,512
113,لپ تاپ 15.6 اینچی ایسوس مدل X543MA-GQ1012-Celeron 4GB 1HDD,"13,790,000",Asus,15.6,X543MA-GQ1012-Celeron,Celeron,4GB,NA
114,لپ تاپ 15.6 اینچی ایسوس مدل Vivobook R565EP-EJ696-i7 16GB 1SSD MX330,"38,760,000",Asus,15.6,Vivobook,i7,16GB,1
115,لپ تاپ 15.6 اینچی لنوو مدل V15 G2 ITL-i5 8GB 1HDD 256GB MX350 - کاستوم شده,"27,249,000",Lenovo,15.6,V15,i5,8GB,NA
116,لپ تاپ 15.6 اینچی لنوو مدل V15 IGL-Celeron N4020 4GB 256SSD,"9,900,000",Lenovo,15.6,V15,Celeron,4GB,256
117,لپ تاپ 15.6 اینچی ایسوس مدل Vivobook 15 M1502Q-BQ027-R5 16GB 512SSD - کاستوم شده,"28,000,000",Asus,15.6,Vivobook,NA,16GB,512
118,لپ تاپ 16 اینچی ایسوس مدل ROG Strix G16 G614JV-AS73,"80,117,840",Asus,16,ROG,NA,NA,NA
119,لپ تاپ 16 اینچی لنوو مدل Legion Pro 5 16IRX8 i7 16GB 1SSD RTX4060,"85,000,000",Lenovo,16,Legion,i7,16GB,1
